Instituto Superior de Engenharia de Lisboa
    Laborat¢rio de Controlo de Sistemas


   Data: 05/04/22
   Hora: 11:44:40

UNIDADES:
   Tempo : seg.
   Canais: mV

POSICAO_DAS_VALVULAS:
   Valvula_A: 0
   Valvula_B: 2
   Valvula_C: 0

PARAMETROS_DO_CONTROLADOR:
   KP=2
   KI=0.4

Controlo: Nivel1

       Tabela de Dados



  Tempo  SetPoint  Nivel1   Caudal 
     274  4999,85  4846,95  6588,95
   274,5  4999,85     4897  6526,08
     275  4999,85  4936,67  6458,33
   275,5  4999,85  4983,06  6365,55
     276  4999,85  5023,96     6274
   276,5  4999,85   5067,9   6197,7
     277  4999,85  5100,86  6095,77
   277,5  4999,85   5144,2  5998,72
     278  4999,85  5182,04  5883,36
   278,5  4999,85  5219,89   5785,7
     279  4999,85   5250,4  5688,04
   279,5  4999,85  5277,87  5597,09
     280  4999,85  5316,93  5471,97
   280,5  4999,85  5345,01  5351,12
     281  4999,85  5369,43  5218,67
   281,5  4999,85  5393,84  5098,42
     282  4999,85  5422,53   4973,3
   282,5  4999,85     5450  4847,56
     283  4999,85  5470,14  4695,58
   283,5  4999,85  5476,24  4540,54
     284  4999,85  5494,55  4382,46
   284,5  4999,85  5501,88  4236,58
     285  4999,85  5511,64  4101,69
   285,5  4999,85  5518,36  3991,82
     286  4999,85  5537,28  3877,07
   286,5  4999,85  5540,33   3743,4
     287  4999,85  5548,27   3602,4
   287,5  4999,85  5550,71  3441,88
     288  4999,85  5553,15  3294,17
   288,5  4999,85  5551,93  3128,15
     289  4999,85  5537,28  2975,55
   289,5  4999,85  5529,95  2835,78
     290  4999,85   5520,8  2697,84
   290,5  4999,85   5509,2  2582,48
     291  4999,85  5498,83  2468,95
   291,5  4999,85  5490,89  2365,18
     292  4999,85   5479,9   2266,3
   292,5  4999,85  5453,66  2168,03
     293  4999,85  5439,62  2069,16
   293,5  4999,85  5422,53  1976,38
     294  4999,85  5402,39  1897,03
   294,5  4999,85  5384,08  1810,36
     295  4999,85  5364,54  1740,78
   295,5  4999,85  5337,69  1656,54
     296  4999,85  5319,99  1572,92
   296,5  4999,85  5293,74  1493,58
     297  4999,85  5274,21   1447,8
   297,5  4999,85  5246,13  1402,02
     298  4999,85   5220,5  1359,29
   298,5  4999,85  5200,35  1355,63
     299  4999,85  5174,11  1364,79
   299,5  4999,85  5157,02  1348,92
     300  4999,85  5130,77  1364,79
   300,5  4999,85  5104,53  1391,03
     301  4999,85  5086,83  1406,29
   301,5  4999,85  5056,92  1407,51
     302  4999,85  5040,44  1436,81
   302,5  4999,85   5014,8  1469,77
     303  4999,85  4986,11  1498,46
   303,5  4999,85  4976,35  1526,54
     304  4999,85  4947,66  1569,87
   304,5  4999,85   4926,3  1621,75
     305  4999,85  4907,38  1676,69
   305,5  4999,85  4889,68  1732,23
     306  4999,85  4875,03  1802,42
   306,5  4999,85  4859,16  1861,63
     307  4999,85  4846,95  1921,45
   307,5  4999,85  4827,42  1984,92
     308  4999,85  4813,99  2056,95
   308,5  4999,85  4807,89  2125,92
     309  4999,85  4793,85  2210,76
   309,5  4999,85   4785,3  2293,77
     310  4999,85  4770,04  2367,02
   310,5  4999,85  4763,33  2421,34
     311  4999,85  4762,72  2490,31
   311,5  4999,85  4751,12  2567,22
     312  4999,85  4749,29   2672,2
   312,5  4999,85  4751,12  2755,21
     313  4999,85  4743,19  2842,49
   313,5  4999,85  4737,69  2914,52
     314  4999,85  4737,08  2996,31
   314,5  4999,85  4735,25  3064,67
     315  4999,85  4743,19  3134,25
   315,5  4999,85  4746,85     3202
     316  4999,85  4751,73  3256,32
   316,5  4999,85  4756,61  3327,74
     317  4999,85  4754,78  3399,15
